part,fam,size,ui,cl_a,cl_b,cl_c,cl_d,ds_a,ds_b,ds_c,ds_d,cal_bpk_g,cal_f_khz,cal_cl_nom_mw_cm3,cal_h_oe,cal_perm_nom_pct,cal_perm_min_pct
OC-040060-2,OC,040,60,2.288e+09,1.502e+09,3.344e+06,1.782e-14,0.01,8.573e-08,2.326,0,1000.0,50.0,263.0,100.0,72.3,63.0
OC-040125-2,OC,040,125,1e+06,2.369e+09,1.449e+06,2.303e-14,0.01,8.99e-07,2.221,0,1000.0,50.0,217.0,40.0,75.5,67.2
OC-044060-2,OC,044,60,2.288e+09,1.502e+09,3.344e+06,1.782e-14,0.01,8.573e-08,2.326,0,1000.0,50.0,263.0,100.0,72.3,63.0
OC-044125-2,OC,044,125,1e+06,2.369e+09,1.449e+06,2.303e-14,0.01,8.99e-07,2.221,0,1000.0,50.0,217.0,40.0,75.5,67.2
OC-050060-2,OC,050,60,2.288e+09,1.502e+09,3.344e+06,1.782e-14,0.01,8.573e-08,2.326,0,1000.0,50.0,263.0,100.0,72.3,63.0
OC-050125-2,OC,050,125,1e+06,2.369e+09,1.449e+06,2.303e-14,0.01,8.99e-07,2.221,0,1000.0,50.0,217.0,40.0,75.5,67.2
OC-065060-2,OC,065,60,2.288e+09,1.502e+09,3.344e+06,1.782e-14,0.01,8.573e-08,2.326,0,1000.0,50.0,263.0,100.0,72.3,63.0
OC-065125-2,OC,065,125,1e+06,2.369e+09,1.449e+06,2.303e-14,0.01,8.99e-07,2.221,0,1000.0,50.0,217.0,40.0,75.5,67.2
OC-068060-2,OC,068,60,2.288e+09,1.502e+09,3.344e+06,1.782e-14,0.01,8.573e-08,2.326,0,1000.0,50.0,263.0,100.0,72.3,63.0
OC-068125-2,OC,068,125,1e+06,2.369e+09,1.449e+06,2.303e-14,0.01,8.99e-07,2.221,0,1000.0,50.0,217.0,40.0,75.5,67.2
OC-080060-2,OC,080,60,2.288e+09,1.502e+09,3.344e+06,1.782e-14,0.01,8.573e-08,2.326,0,1000.0,50.0,263.0,100.0,72.3,63.0
OC-080125-2,OC,080,125,1e+06,2.369e+09,1.449e+06,2.303e-14,0.01,8.99e-07,2.221,0,1000.0,50.0,217.0,40.0,75.5,67.2
