"Part Number","Datasheet","Description","Life-cycle","Polarity","VDSS(V)","VGSS(V)","ID(A)","PD(W)","Ciss(pF)","Qg(nC)","QOSS(nC)","trr(ns)","Qrr(nC)","RDS(ON)Max(Ω)|VGS|=1.2V","RDS(ON)Max(Ω)|VGS|=1.5V","RDS(ON)Max(Ω)|VGS|=1.8V","RDS(ON)Max(Ω)|VGS|=2.5V","RDS(ON)Max(Ω)|VGS|=4V","RDS(ON)Max(Ω)|VGS|=4.5V","RDS(ON)Max(Ω)|VGS|=6V","RDS(ON)Max(Ω)|VGS|=8V","RDS(ON)Max(Ω)|VGS|=10V","RDS(ON)Max(Ω)|VGS|=18V","Number of pins","Surface mount package","Toshiba Package Name","Generation","Type","Width x Length x Height(mm)","Package Size(mm^2)","Drive voltage type"
"TK31N60W","Datasheet","N-ch MOSFET, 600 V, 0.088 Ω@10V, TO-247, DTMOSⅣ","","N-ch","600","+/-30","30.8","230","3000","86","","410","3500","","","","","","","","","0.088","","3","N","TO-247","DTMOSⅣ","","15.94 x 20.95 x 5.02","333.94","10V Gate Drive"
"TK31N60W5","Datasheet","N-ch MOSFET, 600 V, 0.099 Ω@10V, TO-247, DTMOSⅣ","","N-ch","600","+/-30","30.8","230","3000","105","","135","600","","","","","","","","","0.099","","3","N","TO-247","DTMOSⅣ","High-speed diode","15.94 x 20.95 x 5.02","333.94","10V Gate Drive"
"TK31N60X","Datasheet","N-ch MOSFET, 600 V, 0.088 Ω@10V, TO-247, DTMOSⅣ-H","","N-ch","600","+/-30","30.8","230","3000","65","","410","3500","","","","","","","","","0.088","","3","N","TO-247","DTMOSⅣ-H","High-speed switching","15.94 x 20.95 x 5.02","333.94","10V Gate Drive"
"TK31V60W","Datasheet","N-ch MOSFET, 600 V, 0.098 Ω@10V, DFN 8 x 8, DTMOSⅣ","","N-ch","600","+/-30","30.8","240","3000","86","","410","3500","","","","","","","","","0.098","","5","Y","DFN 8 x 8","DTMOSⅣ","","8.0 x 8.0 x 0.85","64.00","10V Gate Drive"
"TK31V60W5","Datasheet","N-ch MOSFET, 600 V, 0.109 Ω@10V, DFN 8 x 8, DTMOSⅣ","","N-ch","600","+/-30","30.8","240","3000","105","","135","600","","","","","","","","","0.109","","5","Y","DFN 8 x 8","DTMOSⅣ","High-speed diode","8.0 x 8.0 x 0.85","64.00","10V Gate Drive"
"TK31V60X","Datasheet","N-ch MOSFET, 600 V, 0.098 Ω@10V, DFN 8 x 8, DTMOSⅣ-H","","N-ch","600","+/-30","30.8","240","3000","65","","410","3500","","","","","","","","","0.098","","5","Y","DFN 8 x 8","DTMOSⅣ-H","High-speed switching","8.0 x 8.0 x 0.85","64.00","10V Gate Drive"
"TK31Z60X","Datasheet","N-ch MOSFET, 600 V, 0.088 Ω@10V, TO-247-4L, DTMOSⅣ-H","","N-ch","600","+/-30","30.8","230","3000","65","","410","3500","","","","","","","","","0.088","","4","N","TO-247-4L","DTMOSⅣ-H","High-speed switching","15.94 x 20.95 x 5.0","333.94","10V Gate Drive"
"TK32A12N1","Datasheet","N-ch MOSFET, 120 V, 0.0138 Ω@10V, TO-220SIS, U-MOSⅧ-H","","N-ch","120","+/-20","60","30","2000","34","","73","160","","","","","","","","","0.0138","","3","N","TO-220SIS","U-MOSⅧ-H","High-speed switching","10.0 x 15.0 x 4.5","150.00","10V Gate Drive"
"TK32E12N1","Datasheet","N-ch MOSFET, 120 V, 0.0138 Ω@10V, TO-220, U-MOSⅧ-H","","N-ch","120","+/-20","60","98","2000","34","","73","160","","","","","","","","","0.0138","","3","N","TO-220","U-MOSⅧ-H","High-speed switching","10.16 x 15.1 x 4.45","153.42","10V Gate Drive"
"TK33S10N1H","Datasheet","N-ch MOSFET, 100 V, 0.0097 Ω@10V, DPAK+, U-MOSⅧ-H","","N-ch","100","+/-20","33","125","2050","28","","56","90","","","","","","","","","0.0097","","3","Y","DPAK+","U-MOSⅧ-H","High-speed switching","6.5 x 9.5 x 2.3","61.75","10V Gate Drive"
"TK33S10N1L","Datasheet","N-ch MOSFET, 100 V, 33 A, 0.0097 Ω@10V, DPAK+","","N-ch","100","+/-20","33","125","2250","33","","66","60","","","","","","0.0162","","","0.0097","","3","Y","DPAK+","U-MOSⅧ-H","","6.5 x 9.5 x 2.3","61.75","Logic-Level Gate Drive"
"TK33S10N1Z","Datasheet","N-ch MOSFET, 100 V, 33 A, 0.0097 Ω@10V, DPAK+","","N-ch","100","+/-20","33","125","2050","28","","56","90","","","","","","","","","0.0097","","3","Y","DPAK+","U-MOSⅧ-H","","6.5 x 9.5 x 2.3","61.75","10V Gate Drive"
"TK34A10N1","Datasheet","N-ch MOSFET, 100 V, 0.0095 Ω@10V, TO-220SIS, U-MOSⅧ-H","","N-ch","100","+/-20","75","35","2600","38","","61","110","","","","","","","","","0.0095","","3","N","TO-220SIS","U-MOSⅧ-H","High-speed switching","10.0 x 15.0 x 4.5","150.00","10V Gate Drive"
"TK34E10N1","Datasheet","N-ch MOSFET, 100 V, 0.0095 Ω@10V, TO-220, U-MOSⅧ-H","","N-ch","100","+/-20","75","103","2600","38","","61","110","","","","","","","","","0.0095","","3","N","TO-220","U-MOSⅧ-H","High-speed switching","10.16 x 15.1 x 4.45","153.42","10V Gate Drive"
